"filename", "language", "JavaScript", "JSON", "HTML", "SCSS", "vue", "Batch", "Markdown", "YAML", "XML", "comment", "blank", "total"
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\.eslintrc.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 200
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 9, 30
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\babel.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 13
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\bin\build.bat", "Batch", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\bin\package.bat", "Batch", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\bin\run-web.bat", "Batch", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\build\index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\package.json", "JSON", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\public\html\ie.html", "HTML", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\public\index.html", "HTML", 0, 0, 187, 0, 0, 0, 0, 0, 0, 1, 21, 209
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\App.vue", "vue", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\RecommendationSys\InnerRecommendation.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\activity\activities.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\articles\articles.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\booksys2\books2.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\booksys\books.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\doActivity\doActivities.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 68
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\login.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 60
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\menu.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\cache.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 58
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\job.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 71
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\jobLog.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 27
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\logininfor.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 35
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\online.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\operlog.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 27
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\monitor\server.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\recHisList\rechistory.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\recommendationItem\recommendationItem.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\config.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 61
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\dept.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 52
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\dict\data.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 53
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\dict\type.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 60
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\menu.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 60
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\notice.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 44
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\post.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\role.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 120
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\system\user.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 137
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\api\tool\gen.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 86
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\404.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\bug.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\build.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\button.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\cascader.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\chart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\checkbox.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\clipboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\code.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\color.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\component.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
