Date : 2024-07-31 16:13:34
Directory : d:\RuoYi\RuoYi-Vue-master\ruoyi-ui
Total : 302 files,  28088 codes, 1010 comments, 1546 blanks, all 30644 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| vue        |        113 |     21,623 |        321 |        777 |     22,721 |
| JavaScript |         84 |      5,074 |        617 |        526 |      6,217 |
| SCSS       |          9 |        844 |         58 |        197 |      1,099 |
| HTML       |          2 |        232 |          1 |         22 |        255 |
| XML        |         87 |        166 |          0 |          0 |        166 |
| JSON       |          2 |         96 |          0 |          1 |         97 |
| Batch      |          3 |         27 |          0 |          9 |         36 |
| Markdown   |          1 |         21 |          0 |          9 |         30 |
| YAML       |          1 |          5 |         13 |          5 |         23 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        302 |     28,088 |      1,010 |      1,546 |     30,644 |
| . (Files)                                                                                    |          5 |        428 |         21 |         21 |        470 |
| bin                                                                                          |          3 |         27 |          0 |          9 |         36 |
| build                                                                                        |          1 |         28 |          0 |          8 |         36 |
| public                                                                                       |          2 |        232 |          1 |         22 |        255 |
| public (Files)                                                                               |          1 |        187 |          1 |         21 |        209 |
| public\html                                                                                  |          1 |         45 |          0 |          1 |         46 |
| src                                                                                          |        291 |     27,373 |        988 |      1,486 |     29,847 |
| src (Files)                                                                                  |          4 |        152 |         53 |         33 |        238 |
| src\api                                                                                      |         27 |      1,089 |        154 |        173 |      1,416 |
| src\api (Files)                                                                              |          2 |         57 |          6 |          6 |         69 |
| src\api\RecommendationSys                                                                    |          1 |         34 |          5 |          6 |         45 |
| src\api\activity                                                                             |          1 |         34 |          5 |          6 |         45 |
| src\api\articles                                                                             |          1 |         34 |          5 |          6 |         45 |
| src\api\booksys                                                                              |          1 |         34 |          5 |          6 |         45 |
| src\api\booksys2                                                                             |          1 |         34 |          5 |          6 |         45 |
| src\api\doActivity                                                                           |          1 |         55 |          6 |          7 |         68 |
| src\api\monitor                                                                              |          7 |        186 |         27 |         33 |        246 |
| src\api\recHisList                                                                           |          1 |         34 |          5 |          6 |         45 |
| src\api\recommendationItem                                                                   |          1 |         34 |          5 |          6 |         45 |
| src\api\system                                                                               |          9 |        487 |         70 |         75 |        632 |
| src\api\system (Files)                                                                       |          7 |        401 |         57 |         61 |        519 |
| src\api\system\dict                                                                          |          2 |         86 |         13 |         14 |        113 |
| src\api\tool                                                                                 |          1 |         66 |         10 |         10 |         86 |
| src\assets                                                                                   |         98 |      1,021 |         72 |        205 |      1,298 |
| src\assets\icons                                                                             |         87 |         99 |         14 |          8 |        121 |
| src\assets\icons (Files)                                                                     |          2 |         11 |         14 |          8 |         33 |
| src\assets\icons\svg                                                                         |         85 |         88 |          0 |          0 |         88 |
| src\assets\images                                                                            |          2 |         78 |          0 |          0 |         78 |
| src\assets\styles                                                                            |          9 |        844 |         58 |        197 |      1,099 |
| src\components                                                                               |         33 |      4,257 |          7 |        206 |      4,470 |
| src\components\Breadcrumb                                                                    |          1 |         69 |          0 |          6 |         75 |
| src\components\Crontab                                                                       |          9 |      1,885 |          0 |         73 |      1,958 |
| src\components\DictData                                                                      |          1 |         46 |          0 |          3 |         49 |
| src\components\DictTag                                                                       |          1 |         87 |          0 |          3 |         90 |
| src\components\Editor                                                                        |          1 |        271 |          0 |          4 |        275 |
| src\components\FileUpload                                                                    |          1 |        211 |          3 |          5 |        219 |
| src\components\Hamburger                                                                     |          1 |         41 |          0 |          4 |         45 |
| src\components\HeaderSearch                                                                  |          1 |        185 |          0 |         14 |        199 |
| src\components\IconSelect                                                                    |          2 |        108 |          1 |          8 |        117 |
| src\components\ImagePreview                                                                  |          1 |         87 |          0 |          4 |         91 |
| src\components\ImageUpload                                                                   |          1 |        218 |          1 |          8 |        227 |
| src\components\Pagination                                                                    |          1 |        111 |          0 |          4 |        115 |
| src\components\PanThumb                                                                      |          1 |        129 |          1 |         13 |        143 |
| src\components\ParentView                                                                    |          1 |          3 |          0 |          1 |          4 |
| src\components\RightPanel                                                                    |          1 |        102 |          0 |          5 |        107 |
| src\components\RightToolbar                                                                  |          1 |        129 |          0 |          1 |        130 |
| src\components\RuoYi                                                                         |          2 |         40 |          0 |          2 |         42 |
| src\components\RuoYi\Doc                                                                     |          1 |         20 |          0 |          1 |         21 |
| src\components\RuoYi\Git                                                                     |          1 |         20 |          0 |          1 |         21 |
| src\components\Screenfull                                                                    |          1 |         54 |          0 |          4 |         58 |
| src\components\SizeSelect                                                                    |          1 |         52 |          0 |          5 |         57 |
| src\components\SvgIcon                                                                       |          1 |         57 |          0 |          5 |         62 |
| src\components\ThemePicker                                                                   |          1 |        149 |          0 |         25 |        174 |
| src\components\TopNav                                                                        |          1 |        187 |          1 |          8 |        196 |
| src\components\iFrame                                                                        |          1 |         36 |          0 |          1 |         37 |
| src\directive                                                                                |          7 |        198 |         39 |         30 |        267 |
| src\directive (Files)                                                                        |          1 |         20 |          0 |          4 |         24 |
| src\directive\dialog                                                                         |          3 |         91 |         27 |         12 |        130 |
| src\directive\module                                                                         |          1 |         49 |          4 |          2 |         55 |
| src\directive\permission                                                                     |          2 |         38 |          8 |         12 |         58 |
| src\layout                                                                                   |         16 |      1,442 |          3 |        124 |      1,569 |
| src\layout (Files)                                                                           |          1 |        101 |          0 |         11 |        112 |
| src\layout\components                                                                        |         14 |      1,301 |          1 |        109 |      1,411 |
| src\layout\components (Files)                                                                |          3 |        245 |          0 |         38 |        283 |
| src\layout\components\IframeToggle                                                           |          1 |         31 |          0 |          3 |         34 |
| src\layout\components\InnerLink                                                              |          1 |         46 |          0 |          2 |         48 |
| src\layout\components\Settings                                                               |          1 |        239 |          0 |         22 |        261 |
| src\layout\components\Sidebar                                                                |          6 |        329 |          1 |         27 |        357 |
| src\layout\components\TagsView                                                               |          2 |        411 |          0 |         17 |        428 |
| src\layout\mixin                                                                             |          1 |         40 |          2 |          4 |         46 |
| src\plugins                                                                                  |          6 |        337 |         42 |         17 |        396 |
| src\router                                                                                   |          1 |        163 |         27 |          8 |        198 |
| src\store                                                                                    |          8 |        620 |         16 |         40 |        676 |
| src\store (Files)                                                                            |          2 |         41 |          0 |          5 |         46 |
| src\store\modules                                                                            |          6 |        579 |         16 |         35 |        630 |
| src\utils                                                                                    |         22 |      2,027 |        257 |        187 |      2,471 |
| src\utils (Files)                                                                            |          9 |        734 |        192 |         93 |      1,019 |
